DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 00:45:00,TZ202,7,Wide,7,E,TZ,T5CE001,2040-12-04 22:15:00,2040-12-05 00:15:00,MUC101,,Wide,Wide,NO,MUC101,1
2040-12-05 00:55:00,TR2728,9,Narrow,3,W,TR,T5CW003L,2040-12-04 22:25:00,2040-12-05 00:25:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 01:00:00,TZ22,17,Wide,7,E,TZ,T5CE003,2040-12-04 22:30:00,2040-12-05 00:30:00,MUC102,,Wide,Wide,NO,MUC102,1
2040-12-05 01:35:00,TZ1904,62,Wide,7,E,TZ,T5CE004,2040-12-04 23:05:00,2040-12-05 01:05:00,MUC103,,Wide,Wide,NO,MUC103,1
2040-12-05 01:35:00,TZ1902,38,Wide,7,W,TZ,T5CW004,2040-12-04 23:05:00,2040-12-05 01:05:00,MUC106,,Wide,Wide,NO,MUC106,1
2040-12-05 01:35:00,TZ1906,52,Wide,7,W,TZ,T5CW009,2040-12-04 23:05:00,2040-12-05 01:05:00,MUC107,,Wide,Wide,NO,MUC107,1
2040-12-05 01:45:00,TZ96,10,Wide,7,E,TZ,T5CE002,2040-12-04 23:15:00,2040-12-05 01:15:00,MUC104,,Wide,Wide,NO,MUC104,1
2040-12-05 01:45:00,TZ228,3,Wide,7,W,TZ,T5CW008,2040-12-04 23:15:00,2040-12-05 01:15:00,MUC109,,Wide,Wide,NO,MUC109,1
2040-12-05 01:45:00,TZ2,2,Wide,7,W,TZ,T5CW005,2040-12-04 23:15:00,2040-12-05 01:15:00,MUC108,,Wide,Wide,NO,MUC108,1
2040-12-05 01:55:00,TZ220,4,Wide,7,E,TZ,T5CE007,2040-12-04 23:25:00,2040-12-05 01:25:00,MUC201,,Wide,Wide,NO,MUC201,1
2040-12-05 02:00:00,TZ5507,5,Wide,7,W,TZ,T5CW010,2040-12-04 23:30:00,2040-12-05 01:30:00,MUC110,,Wide,Wide,NO,MUC110,1
2040-12-05 02:00:00,TZ2402,15,Wide,7,E,TZ,T5CE005,2040-12-04 23:30:00,2040-12-05 01:30:00,MUC202,,Wide,Wide,NO,MUC202,1
2040-12-05 03:00:00,TZ3617,74,Wide,7,E,TZ,T5CE003,2040-12-05 00:30:00,2040-12-05 02:30:00,MUC203,,Wide,Wide,NO,MUC203,1
2040-12-05 06:00:00,TR2986,27,Narrow,3,W,TR,T5CW011R,2040-12-05 03:30:00,2040-12-05 05:30:00,MUC205,,Narrow,Narrow,NO,MUC205,1
2040-12-05 06:05:00,TR2062,130,Narrow,3,E,TR,T5CE010R,2040-12-05 03:35:00,2040-12-05 05:35:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 06:05:00,TZ128,68,Wide,7,E,TZ,T5CE004,2040-12-05 03:35:00,2040-12-05 05:35:00,MUC204,,Wide,Wide,NO,MUC204,1
2040-12-05 06:30:00,TZ298,173,Wide,7,W,TZ,T5CW009,2040-12-05 04:00:00,2040-12-05 06:00:00,MUC206,,Wide,Wide,NO,MUC206,1
2040-12-05 06:30:00,TR5011,274,Narrow,3,W,TR,T5CW005,2040-12-05 04:00:00,2040-12-05 06:00:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 06:30:00,TR2102,47,Narrow,3,E,TR,T5CE007L,2040-12-05 04:00:00,2040-12-05 06:00:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 06:50:00,MI750,76,Narrow,3,E,MI,T5CE005L,2040-12-05 04:20:00,2040-12-05 06:20:00,MUC103,,Narrow,Narrow,NO,MUC103,1
2040-12-05 07:00:00,MI52,57,Narrow,3,E,MI,T5CE005R,2040-12-05 04:30:00,2040-12-05 06:30:00,MUC104,,Narrow,Narrow,NO,MUC104,1
2040-12-05 07:00:00,MI176,41,Narrow,3,W,MI,T5CW011L,2040-12-05 04:30:00,2040-12-05 06:30:00,MUC208,,Narrow,Narrow,NO,MUC208,1
2040-12-05 07:00:00,MI424,46,Narrow,3,W,MI,T5CW003R,2040-12-05 04:30:00,2040-12-05 06:30:00,MUC209,,Narrow,Narrow,NO,MUC209,1
2040-12-05 07:00:00,MI962,515,Narrow,3,W,MI,T5CW007L,2040-12-05 04:30:00,2040-12-05 06:30:00,MUC210,,Narrow,Narrow,NO,MUC210,1
2040-12-05 07:00:00,TR98,237,Narrow,3,E,TR,T5CE001,2040-12-05 04:30:00,2040-12-05 06:30:00,MUC201,,Narrow,Narrow,NO,MUC201,1
2040-12-05 07:10:00,TR3605,510,Narrow,3,E,TR,T5CE011R,2040-12-05 04:40:00,2040-12-05 06:40:00,MUC202,,Narrow,Narrow,NO,MUC202,1
2040-12-05 07:10:00,MI322,204,Narrow,3,W,MI,T5CW001L,2040-12-05 04:40:00,2040-12-05 06:40:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 07:10:00,MI2499,302,Narrow,3,W,MI,T5CW007R,2040-12-05 04:40:00,2040-12-05 06:40:00,MUC106,,Narrow,Narrow,NO,MUC106,1
2040-12-05 07:15:00,TZ3609,51,Wide,7,E,TZ,T5CE003,2040-12-05 04:45:00,2040-12-05 06:45:00,MUC203,,Wide,Wide,NO,MUC203,1
2040-12-05 07:20:00,MI64,196,Narrow,3,W,MI,T5CW011R,2040-12-05 04:50:00,2040-12-05 06:50:00,MUC107,,Narrow,Narrow,NO,MUC107,1
