DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason
2040-12-05 00:45:00,TZ202,7,Narrow,7,T1,TZ,T5CE001,2040-12-04 21:45:00,2040-12-05 00:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 00:55:00,TR2728,9,Wide,3,T2,TR,T5CW003L,2040-12-04 21:55:00,2040-12-05 00:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:00:00,TZ22,17,Narrow,7,T1,TZ,T5CE003,2040-12-04 22:00:00,2040-12-05 00:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:35:00,TZ1904,62,Narrow,7,T1,TZ,T5CE004,2040-12-04 22:35:00,2040-12-05 01:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:35:00,TZ1902,38,Narrow,7,T2,TZ,T5CW004,2040-12-04 22:35:00,2040-12-05 01:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:35:00,TZ1906,52,Narrow,7,T2,TZ,T5CW009,2040-12-04 22:35:00,2040-12-05 01:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:45:00,TZ96,10,Narrow,7,T1,TZ,T5CE002,2040-12-04 22:45:00,2040-12-05 01:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:45:00,TZ228,3,Narrow,7,T2,TZ,T5CW008,2040-12-04 22:45:00,2040-12-05 01:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:45:00,TZ2,2,Narrow,7,T2,TZ,T5CW005,2040-12-04 22:45:00,2040-12-05 01:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 01:55:00,TZ220,4,Narrow,7,T1,TZ,T5CE007,2040-12-04 22:55:00,2040-12-05 01:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 02:00:00,TZ5507,5,Narrow,7,T2,TZ,T5CW010,2040-12-04 23:00:00,2040-12-05 01:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 02:00:00,TZ2402,15,Narrow,7,T1,TZ,T5CE005,2040-12-04 23:00:00,2040-12-05 01:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 03:00:00,TZ3617,74,Narrow,7,T1,TZ,T5CE003,2040-12-05 00:00:00,2040-12-05 02:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:00:00,TR2986,27,Wide,3,T2,TR,T5CW011R,2040-12-05 03:00:00,2040-12-05 05:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:05:00,TR2062,130,Wide,3,T1,TR,T5CE010R,2040-12-05 03:05:00,2040-12-05 05:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:05:00,TZ128,68,Narrow,7,T1,TZ,T5CE004,2040-12-05 03:05:00,2040-12-05 05:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:30:00,TZ298,173,Narrow,7,T2,TZ,T5CW009,2040-12-05 03:30:00,2040-12-05 06:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:30:00,TR5011,274,Wide,3,T2,TR,T5CW005,2040-12-05 03:30:00,2040-12-05 06:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:30:00,TR2102,47,Wide,3,T1,TR,T5CE007L,2040-12-05 03:30:00,2040-12-05 06:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 06:50:00,MI750,76,Wide,3,T1,MI,T5CE005L,2040-12-05 03:50:00,2040-12-05 06:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:00:00,MI52,57,Wide,3,T1,MI,T5CE005R,2040-12-05 04:00:00,2040-12-05 06:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:00:00,MI176,41,Wide,3,T2,MI,T5CW011L,2040-12-05 04:00:00,2040-12-05 06:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:00:00,MI424,46,Wide,3,T2,MI,T5CW003R,2040-12-05 04:00:00,2040-12-05 06:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:00:00,MI962,515,Wide,3,T2,MI,T5CW007L,2040-12-05 04:00:00,2040-12-05 06:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:00:00,TR98,237,Wide,3,T1,TR,T5CE001,2040-12-05 04:00:00,2040-12-05 06:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:10:00,TR3605,510,Wide,3,T1,TR,T5CE011R,2040-12-05 04:10:00,2040-12-05 06:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:10:00,MI322,204,Wide,3,T2,MI,T5CW001L,2040-12-05 04:10:00,2040-12-05 06:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:10:00,MI2499,302,Wide,3,T2,MI,T5CW007R,2040-12-05 04:10:00,2040-12-05 06:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:15:00,TZ3609,51,Narrow,7,T1,TZ,T5CE003,2040-12-05 04:15:00,2040-12-05 06:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:20:00,MI64,196,Wide,3,T2,MI,T5CW011R,2040-12-05 04:20:00,2040-12-05 06:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:20:00,TR3625,58,Wide,3,T1,TR,T5CE007R,2040-12-05 04:20:00,2040-12-05 06:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:25:00,MI20,228,Wide,3,T1,MI,T5CE011L,2040-12-05 04:25:00,2040-12-05 06:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:25:00,MI22,225,Wide,3,T2,MI,T5CW001R,2040-12-05 04:25:00,2040-12-05 06:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:30:00,MI436,374,Wide,3,T1,MI,T5CE008L,2040-12-05 04:30:00,2040-12-05 07:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:30:00,TR5003,131,Wide,3,T1,TR,T5CE006,2040-12-05 04:30:00,2040-12-05 07:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:35:00,TR3667,129,Wide,3,T2,TR,T5CW008L,2040-12-05 04:35:00,2040-12-05 07:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:40:00,MI234,372,Wide,3,T2,MI,T5CW003L,2040-12-05 04:40:00,2040-12-05 07:10:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:45:00,MI602,229,Wide,3,T2,MI,T5CW008R,2040-12-05 04:45:00,2040-12-05 07:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:50:00,TR3627,281,Wide,3,T1,TR,T5CE008R,2040-12-05 04:50:00,2040-12-05 07:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:55:00,TR3601,423,Wide,3,T2,TR,T5CW002L,2040-12-05 04:55:00,2040-12-05 07:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,TZ3621,116,Narrow,7,T2,TZ,T5CW009,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,TR2152,153,Wide,3,T1,TR,T5CE009R,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,MI922,548,Wide,3,T1,MI,R5CE501L,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:05:00,TR1996,69,Wide,3,T2,TR,T5CW002R,2040-12-05 05:05:00,2040-12-05 07:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:10:00,TZ3604,206,Narrow,7,T1,TZ,T5CE004,2040-12-05 05:10:00,2040-12-05 07:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:10:00,TR2274,135,Wide,3,T1,TR,T5CE009L,2040-12-05 05:10:00,2040-12-05 07:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:15:00,TR1994,100,Wide,3,T2,TR,R5CW501,2040-12-05 05:15:00,2040-12-05 07:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,MI3640,163,Wide,3,T2,MI,T5CW006R,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,TR2782,137,Wide,3,T1,TR,R5CE503L,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,MI2493,257,Wide,3,T2,MI,T5CW010L,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:25:00,TR2106,101,Wide,3,T2,TR,R5DW701L,2040-12-05 05:25:00,2040-12-05 07:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
