2040-12-05 00:45:00 | TZ202 | Narrow | pos=7 | open=2040-12-04 21:45:00 | close=2040-12-05 00:15:00 | carousel=UNASSIGNED
2040-12-05 00:55:00 | TR2728 | Wide | pos=3 | open=2040-12-04 21:55:00 | close=2040-12-05 00:25:00 | carousel=UNASSIGNED
2040-12-05 01:00:00 | TZ22 | Narrow | pos=7 | open=2040-12-04 22:00:00 | close=2040-12-05 00:30:00 | carousel=UNASSIGNED
2040-12-05 01:35:00 | TZ1904 | Narrow | pos=7 | open=2040-12-04 22:35:00 | close=2040-12-05 01:05:00 | carousel=UNASSIGNED
2040-12-05 01:35:00 | TZ1902 | Narrow | pos=7 | open=2040-12-04 22:35:00 | close=2040-12-05 01:05:00 | carousel=UNASSIGNED
2040-12-05 01:35:00 | TZ1906 | Narrow | pos=7 | open=2040-12-04 22:35:00 | close=2040-12-05 01:05:00 | carousel=UNASSIGNED
2040-12-05 01:45:00 | TZ96 | Narrow | pos=7 | open=2040-12-04 22:45:00 | close=2040-12-05 01:15:00 | carousel=UNASSIGNED
2040-12-05 01:45:00 | TZ228 | Narrow | pos=7 | open=2040-12-04 22:45:00 | close=2040-12-05 01:15:00 | carousel=UNASSIGNED
2040-12-05 01:45:00 | TZ2 | Narrow | pos=7 | open=2040-12-04 22:45:00 | close=2040-12-05 01:15:00 | carousel=UNASSIGNED
2040-12-05 01:55:00 | TZ220 | Narrow | pos=7 | open=2040-12-04 22:55:00 | close=2040-12-05 01:25:00 | carousel=UNASSIGNED
2040-12-05 02:00:00 | TZ5507 | Narrow | pos=7 | open=2040-12-04 23:00:00 | close=2040-12-05 01:30:00 | carousel=UNASSIGNED
2040-12-05 02:00:00 | TZ2402 | Narrow | pos=7 | open=2040-12-04 23:00:00 | close=2040-12-05 01:30:00 | carousel=UNASSIGNED
2040-12-05 03:00:00 | TZ3617 | Narrow | pos=7 | open=2040-12-05 00:00:00 | close=2040-12-05 02:30:00 | carousel=UNASSIGNED
2040-12-05 06:00:00 | TR2986 | Wide | pos=3 | open=2040-12-05 03:00:00 | close=2040-12-05 05:30:00 | carousel=UNASSIGNED
2040-12-05 06:05:00 | TR2062 | Wide | pos=3 | open=2040-12-05 03:05:00 | close=2040-12-05 05:35:00 | carousel=UNASSIGNED
2040-12-05 06:05:00 | TZ128 | Narrow | pos=7 | open=2040-12-05 03:05:00 | close=2040-12-05 05:35:00 | carousel=UNASSIGNED
2040-12-05 06:30:00 | TZ298 | Narrow | pos=7 | open=2040-12-05 03:30:00 | close=2040-12-05 06:00:00 | carousel=UNASSIGNED
2040-12-05 06:30:00 | TR5011 | Wide | pos=3 | open=2040-12-05 03:30:00 | close=2040-12-05 06:00:00 | carousel=UNASSIGNED
2040-12-05 06:30:00 | TR2102 | Wide | pos=3 | open=2040-12-05 03:30:00 | close=2040-12-05 06:00:00 | carousel=UNASSIGNED
2040-12-05 06:50:00 | MI750 | Wide | pos=3 | open=2040-12-05 03:50:00 | close=2040-12-05 06:20:00 | carousel=UNASSIGNED
2040-12-05 07:00:00 | MI52 | Wide | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:30:00 | carousel=UNASSIGNED
2040-12-05 07:00:00 | MI176 | Wide | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:30:00 | carousel=UNASSIGNED
2040-12-05 07:00:00 | MI424 | Wide | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:30:00 | carousel=UNASSIGNED
2040-12-05 07:00:00 | MI962 | Wide | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:30:00 | carousel=UNASSIGNED
2040-12-05 07:00:00 | TR98 | Wide | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:30:00 | carousel=UNASSIGNED
2040-12-05 07:10:00 | TR3605 | Wide | pos=3 | open=2040-12-05 04:10:00 | close=2040-12-05 06:40:00 | carousel=UNASSIGNED
2040-12-05 07:10:00 | MI322 | Wide | pos=3 | open=2040-12-05 04:10:00 | close=2040-12-05 06:40:00 | carousel=UNASSIGNED
2040-12-05 07:10:00 | MI2499 | Wide | pos=3 | open=2040-12-05 04:10:00 | close=2040-12-05 06:40:00 | carousel=UNASSIGNED
2040-12-05 07:15:00 | TZ3609 | Narrow | pos=7 | open=2040-12-05 04:15:00 | close=2040-12-05 06:45:00 | carousel=UNASSIGNED
