2040-12-05 00:45:00 | TZ202 | Wide | pos=7 | open=2040-12-04 22:15:00 | close=2040-12-05 00:15:00 | carousel=MUC101
2040-12-05 00:55:00 | TR2728 | Narrow | pos=3 | open=2040-12-04 22:25:00 | close=2040-12-05 00:25:00 | carousel=MUC105
2040-12-05 01:00:00 | TZ22 | Wide | pos=7 | open=2040-12-04 22:30:00 | close=2040-12-05 00:30:00 | carousel=MUC102
2040-12-05 01:35:00 | TZ1902 | Wide | pos=7 | open=2040-12-04 23:05:00 | close=2040-12-05 01:05:00 | carousel=MUC103
2040-12-05 01:35:00 | TZ1906 | Wide | pos=7 | open=2040-12-04 23:05:00 | close=2040-12-05 01:05:00 | carousel=MUC106
2040-12-05 01:35:00 | TZ1904 | Wide | pos=7 | open=2040-12-04 23:05:00 | close=2040-12-05 01:05:00 | carousel=MUC107
2040-12-05 01:45:00 | TZ228 | Wide | pos=7 | open=2040-12-04 23:15:00 | close=2040-12-05 01:15:00 | carousel=MUC104
2040-12-05 01:45:00 | TZ96 | Wide | pos=7 | open=2040-12-04 23:15:00 | close=2040-12-05 01:15:00 | carousel=MUC109
2040-12-05 01:45:00 | TZ2 | Wide | pos=7 | open=2040-12-04 23:15:00 | close=2040-12-05 01:15:00 | carousel=MUC108
2040-12-05 01:55:00 | TZ220 | Wide | pos=7 | open=2040-12-04 23:25:00 | close=2040-12-05 01:25:00 | carousel=MUC201
2040-12-05 02:00:00 | TZ2402 | Wide | pos=7 | open=2040-12-04 23:30:00 | close=2040-12-05 01:30:00 | carousel=MUC110
2040-12-05 02:00:00 | TZ5507 | Wide | pos=7 | open=2040-12-04 23:30:00 | close=2040-12-05 01:30:00 | carousel=MUC202
2040-12-05 03:00:00 | TZ3617 | Wide | pos=7 | open=2040-12-05 00:30:00 | close=2040-12-05 02:30:00 | carousel=MUC203
2040-12-05 06:00:00 | TR2986 | Narrow | pos=3 | open=2040-12-05 03:30:00 | close=2040-12-05 05:30:00 | carousel=MUC205
2040-12-05 06:05:00 | TR2062 | Narrow | pos=3 | open=2040-12-05 03:35:00 | close=2040-12-05 05:35:00 | carousel=MUC101
2040-12-05 06:05:00 | TZ128 | Wide | pos=7 | open=2040-12-05 03:35:00 | close=2040-12-05 05:35:00 | carousel=MUC204
2040-12-05 06:30:00 | TR2102 | Narrow | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:00:00 | carousel=MUC206
2040-12-05 06:30:00 | TR5011 | Narrow | pos=3 | open=2040-12-05 04:00:00 | close=2040-12-05 06:00:00 | carousel=MUC207
2040-12-05 06:30:00 | TZ298 | Wide | pos=7 | open=2040-12-05 04:00:00 | close=2040-12-05 06:00:00 | carousel=MUC102
2040-12-05 06:50:00 | MI750 | Narrow | pos=3 | open=2040-12-05 04:20:00 | close=2040-12-05 06:20:00 | carousel=MUC103
2040-12-05 07:00:00 | MI424 | Narrow | pos=3 | open=2040-12-05 04:30:00 | close=2040-12-05 06:30:00 | carousel=MUC104
2040-12-05 07:00:00 | MI176 | Narrow | pos=3 | open=2040-12-05 04:30:00 | close=2040-12-05 06:30:00 | carousel=MUC208
2040-12-05 07:00:00 | TR98 | Narrow | pos=3 | open=2040-12-05 04:30:00 | close=2040-12-05 06:30:00 | carousel=MUC209
2040-12-05 07:00:00 | MI962 | Narrow | pos=3 | open=2040-12-05 04:30:00 | close=2040-12-05 06:30:00 | carousel=MUC210
2040-12-05 07:00:00 | MI52 | Narrow | pos=3 | open=2040-12-05 04:30:00 | close=2040-12-05 06:30:00 | carousel=MUC201
2040-12-05 07:10:00 | TR3605 | Narrow | pos=3 | open=2040-12-05 04:40:00 | close=2040-12-05 06:40:00 | carousel=MUC202
2040-12-05 07:10:00 | MI322 | Narrow | pos=3 | open=2040-12-05 04:40:00 | close=2040-12-05 06:40:00 | carousel=MUC105
2040-12-05 07:10:00 | MI2499 | Narrow | pos=3 | open=2040-12-05 04:40:00 | close=2040-12-05 06:40:00 | carousel=MUC106
2040-12-05 07:15:00 | TZ3609 | Wide | pos=7 | open=2040-12-05 04:45:00 | close=2040-12-05 06:45:00 | carousel=MUC203
2040-12-05 07:20:00 | TR3625 | Narrow | pos=3 | open=2040-12-05 04:50:00 | close=2040-12-05 06:50:00 | carousel=MUC107
2040-12-05 07:20:00 | MI64 | Narrow | pos=3 | open=2040-12-05 04:50:00 | close=2040-12-05 06:50:00 | carousel=MUC204
2040-12-05 07:25:00 | MI22 | Narrow | pos=3 | open=2040-12-05 04:55:00 | close=2040-12-05 06:55:00 | carousel=MUC102
2040-12-05 07:25:00 | MI20 | Narrow | pos=3 | open=2040-12-05 04:55:00 | close=2040-12-05 06:55:00 | carousel=MUC108
2040-12-05 07:30:00 | MI436 | Narrow | pos=3 | open=2040-12-05 05:00:00 | close=2040-12-05 07:00:00 | carousel=UNASSIGNED
2040-12-05 07:30:00 | TR5003 | Narrow | pos=3 | open=2040-12-05 05:00:00 | close=2040-12-05 07:00:00 | carousel=MUC203
2040-12-05 07:35:00 | TR3667 | Narrow | pos=3 | open=2040-12-05 05:05:00 | close=2040-12-05 07:05:00 | carousel=MUC109
2040-12-05 07:40:00 | MI234 | Narrow | pos=3 | open=2040-12-05 05:10:00 | close=2040-12-05 07:10:00 | carousel=MUC110
2040-12-05 07:45:00 | MI602 | Narrow | pos=3 | open=2040-12-05 05:15:00 | close=2040-12-05 07:15:00 | carousel=UNASSIGNED
2040-12-05 07:50:00 | TR3627 | Narrow | pos=3 | open=2040-12-05 05:20:00 | close=2040-12-05 07:20:00 | carousel=UNASSIGNED
2040-12-05 07:55:00 | TR3601 | Narrow | pos=3 | open=2040-12-05 05:25:00 | close=2040-12-05 07:25:00 | carousel=UNASSIGNED
2040-12-05 08:00:00 | TR2152 | Narrow | pos=3 | open=2040-12-05 05:30:00 | close=2040-12-05 07:30:00 | carousel=MUC205
2040-12-05 08:00:00 | TZ3621 | Wide | pos=7 | open=2040-12-05 05:30:00 | close=2040-12-05 07:30:00 | carousel=MUC101
2040-12-05 08:00:00 | MI922 | Narrow | pos=3 | open=2040-12-05 05:30:00 | close=2040-12-05 07:30:00 | carousel=UNASSIGNED
2040-12-05 08:05:00 | TR1996 | Narrow | pos=3 | open=2040-12-05 05:35:00 | close=2040-12-05 07:35:00 | carousel=UNASSIGNED
2040-12-05 08:10:00 | TZ3604 | Wide | pos=7 | open=2040-12-05 05:40:00 | close=2040-12-05 07:40:00 | carousel=MUC103
